Main Topics,Subtopics,Details,Links,Video Links
,Cyclic Sort,Cyclic Sort,,https://youtu.be/1xsw92zDOhA
,,Cycle sort on fixed range,,
,,Q. Missing Number,https://leetcode.com/problems/missing-number/description/,
,,Q. Find the duplicate number,https://leetcode.com/problems/find-the-duplicate-number/description/,
,,Q. First missing positive,https://leetcode.com/problems/first-missing-positive/description/,
Matrix,Questions on Matrix - 1,Q. Median of a Sorted Matrix,https://www.geeksforgeeks.org/problems/median-in-a-row-wise-sorted-matrix1527/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,https://youtu.be/aNIfGl1ZKQE
,,Q. Kth Smallest element of a Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,https://youtu.be/HuOcDlB1uXk
,Questions on Matrix - 2,Q. Search a 2d matrix,https://leetcode.com/problems/search-a-2d-matrix/description/,https://youtu.be/EXcmeMx3Dq0
,,Q. Search a 2d matrix 2,https://leetcode.com/problems/search-a-2d-matrix-ii/,
,Questions on Matrix - 3,Q. Transpose a Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1,https://youtu.be/hA_yvtCpjsg
,,Q. Rotate image,https://leetcode.com/problems/rotate-image/,
,,Q. Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree0356/1,
,Questions on Matrix - 4,Q. Spiral Matrix - 1,https://leetcode.com/problems/spiral-matrix/,https://youtu.be/uAaoWcYX2_8
,,Q. Spiral Matrix - 2,https://leetcode.com/problems/spiral-matrix-ii/description/,
Hashing,Hashing,Components of Hashing,,https://youtu.be/vB3WKXNH-v4?si=oAOjWmxgCLXQvjC2
,,How hashing works?,,
,,Types of Hash Functions,,
,,Collisions ,,
,,Collision Resolution Techniques - Separate chaining,,
,,Collision Resolution Techniques - Open Addressing,,
,,Load Factor,,
,,Rehashing,,
,,Applications and Advantages,,
,Hashmap Data Structure,What is HashMap?,,https://youtu.be/CMA0MQQ3jhA?si=qi9VRUEUv4Rldbv2
,,How to use custom key-value pair,,
,Implement HashMap in Java,All Methods,,https://youtu.be/B4VukYcQG_E?si=D4bP5zpwtOFPzNQM
,,hashCode function (Java specific),,
,,Rehashing,,
,Questions on hashmap,Q. Most frequent element in an array,Video-only problem,https://youtu.be/O5iUfFHxCZc?si=wKCy3r5x7hgIDEib
,,Q. Check if an array is subset of another array,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1,https://youtu.be/V4hi-l-xNXU?si=LMEB14_uTicW-6vM
