Main Topics,Subtopics,Details,Links,Video Links
,,Q. reverse an array inplace,https://leetcode.com/problems/reverse-string/description/,https://youtu.be/F_AFAG3m1r0?si=i6q8DKOn4p5PRb3a
,,Q. reverse a stack,https://www.geeksforgeeks.org/problems/reverse-a-stack/1,https://youtu.be/setwBLDtlck?si=D_zfPZqG1SJzwD7-
,Recursion - II,Q. Tower of Hanoi,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,https://youtu.be/vDh9dGyegvs?si=FSXfXW3KnrSC5fdJ
,,Q. Count ways in a Matrix,,https://youtu.be/cPV3Jxw2NPU?si=oAduxst7oQSP1Wej
,Time and Space Complexity Analysis,Notations,,https://youtu.be/L2jJMTS-KfY?si=XD6RgPZYAxxQXo1C
,,Recurrence Relation,,
,,Trick,,
,Backtracking,Backtracking and All it's variants,,https://youtu.be/rBJ6lNgIwfs?si=BjYRCAbitUHXCuIC
,,Q. Rat in a Maze,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,https://youtu.be/HoaXmlzyAWs?si=UGRxfc3-KDoFUHXc
,,Q. All permutations,https://leetcode.com/problems/permutations/description/,https://youtu.be/m9HgMrsdvaQ?si=gcVhCyp5V_B-drJY
,,Q. Pallindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/description/,https://youtu.be/-GrwQ-Yfs48?si=WVU_8qyIHFL0FwfT
,,Q. Letter Combination of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,https://youtu.be/iMboZzRh-UM?si=1kExLPQf2O1ut17V
,,Q. Print Subdequences of a String,,https://youtu.be/mj20tLqdJRk?si=fXEiE59i1F1L0y09
,,Q. Subsequences with sum equal K,,https://youtu.be/j-y_ohVDRRI?si=ZIKh3815ORC1b5zy
,Backtracking with Pruning,Q. Combination Sum - I,https://leetcode.com/problems/combination-sum/description/,https://youtu.be/fC_rh6jA6Tw?si=-tWhz2PM8ofwUISB
,,Q. Combination Sum - II,https://leetcode.com/problems/combination-sum-ii/description/,https://youtu.be/Edw151zdBTI?si=iA_f9T_g3X4a1U3l
,,Q. Combination Sum - III,https://leetcode.com/problems/combination-sum-iii/description/,https://youtu.be/gSza2TQV0gs?si=W95ZbOUasGMMAf12
