index,questionNo,title,difficulty,acceptance,link,youtubeLink
56,2486',Append Characters to String to Make Subsequence',Medium',73.0%',https://leetcode.com/problems/append-characters-to-string-to-make-subsequence',https://youtu.be/JmTTPi7CJGs?si=wG6LSIi2jMM5SH6A
57,1717',Maximum Score From Removing Substrings',Medium',66.6%',https://leetcode.com/problems/maximum-score-from-removing-substrings',https://youtu.be/GWURaMX2AZY?si=pAvFPnJPcIDlb4OO
58,564',Find the Closest Palindrome',Hard',31.8%',https://leetcode.com/problems/find-the-closest-palindrome',https://youtu.be/tF9VhkSDaSI?si=MefcdbBNvDJfidQC
59,1945',Sum of Digits of String After Convert',Easy',74.8%',https://leetcode.com/problems/sum-of-digits-of-string-after-convert',https://youtu.be/IF6JC0gwD_w?si=qUNDDg4q6Wl66rmO
60,1813',Sentence Similarity III',Medium',48.5%',https://leetcode.com/problems/sentence-similarity-iii',https://youtu.be/CMds56X30-I?si=spqCp4k92ltJU7du
61,1545',Find Kth Bit in Nth Binary String',Medium',70.2%',https://leetcode.com/problems/find-kth-bit-in-nth-binary-string',https://youtu.be/mfUWrC8ULfM?si=5xNcH4CD8eOXe2Qd
62,1593',Split a String Into the Max Number of Unique Substrings',Medium',68.5%',https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings',https://youtu.be/pWLKzsv1X4Q?si=ahYeeWFDRBGoHDnP
63,1106',Parsing A Boolean Expression',Hard',69.8%',https://leetcode.com/problems/parsing-a-boolean-expression',https://youtu.be/7MODP3hx3yw?si=9ipvs0Lr6Fz4itLe
64,42',Trapping Rain Water',Hard',66.4%',https://leetcode.com/problems/trapping-rain-water',https://youtu.be/pzmoYG6Y3Xs?si=sIQrRJoj1EsgxIn1
65,2109',Adding Spaces to a String',Medium',71.7%',https://leetcode.com/problems/adding-spaces-to-a-string',https://youtu.be/8xDOICtqtx4?si=OS3PCyFkDXBECyhW
66,2337',Move Pieces to Obtain a String',Medium',56.8%',https://leetcode.com/problems/move-pieces-to-obtain-a-string',https://youtu.be/vo7u7Lzx7VE?si=DIe-GAYp36Xm0_4i
67,78',Subsets',Medium',81.8%',https://leetcode.com/problems/subsets',https://youtu.be/otFWTk-9b7g?si=fcV88X_ununRIR-f
68,131',Palindrome Partitioning',Medium',73.4%',https://leetcode.com/problems/palindrome-partitioning',https://youtu.be/dxFBNqt9_2o?si=lLV-uZFE5r_iFu_G
69,2597',The Number of Beautiful Subsets',Medium',50.9%',https://leetcode.com/problems/the-number-of-beautiful-subsets',https://youtu.be/INfk20gPu6Q?si=jwglthcpFGfpQc5n
70,921',Minimum Add to Make Parentheses Valid',Medium',74.5%',https://leetcode.com/problems/minimum-add-to-make-parentheses-valid',https://youtu.be/BNFBv1KtcDM?si=HkARh5VID_4Yammo
